VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,36.99,1750.0,145080,3811251.6,131799.0,4743272.01,631601.0900000001,242165.82,68601.68,932020.4099999997,19.649313976408443,0.9084574028122415,1.2445444457143684
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750.0,164038,3804041.22,146015.0,4406487.81,527854.98,268288.31,144929.24,602446.5899999994,13.671808841336599,0.8901291164242432,1.1583701529921906
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,24.99,1750.0,187407,3418303.68,174191.0,4233948.59,432764.23,320061.27999999997,123780.22,815644.9099999997,19.264402782935058,0.9294796885922084,1.2386110148060336
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16.17,22.99,1750.0,201682,3261197.94,177141.0,3987514.59,393938.44999999995,325483.26,257032.07,726316.6499999999,18.214770970906965,0.878318342737577,1.2227146782755542
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,29.99,1750.0,138109,3023206.01,124199.0,3874054.01,511019.87,228202.16999999998,257032.07,850848.0,21.962729425137777,0.8992824508178323,1.2814389747789632
480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,23.99,750.0,138809,2466635.93,131548.0,3137042.52,416769.19999999995,103579.72,89286.27,670406.5899999999,21.370656780259385,0.9476907116973683,1.2717898421272085
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,30.76,39.99,1750.0,70783,2177285.08,58653.0,2356465.47,573348.18,107767.76,123780.22,179180.39000000013,7.603777448943486,0.8286311685009112,1.0822953280881344
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,17.99,1750.0,161386,2088334.84,136041.0,2384355.59,272775.94999999995,249961.86,257032.07,296020.74999999977,12.415125967012319,0.8429541595925297,1.1417496583067108
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,20.73,27.99,1750.0,91835,1903739.55,84210.0,2464965.9,471948.35,154722.4,257032.07,561226.3499999999,22.768118212101836,0.916970653890129,1.2948020647047018
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,21.99,1750.0,108866,1773427.14,97259.0,2229649.41,401504.87999999995,178697.29,123880.97,456222.27000000025,20.461614635639073,0.8933826906472176,1.2572545889875129
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16.42,22.99,750.0,93205,1530426.1,82749.0,1930895.51,406128.33999999997,65149.659999999996,123780.22,400469.4099999999,20.740087069755518,0.8878171771900649,1.2616718376666471
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22.38,29.99,1750.0,66942,1498161.96,56409.0,1694969.91,410909.22,103644.31999999999,257032.07,196807.94999999995,11.61129462174346,0.8426548355292641,1.1313662709738004
480,BACARDI USA INC,2663,Dewars White Label,21.42,29.99,1750.0,69001,1478001.42,65101.0,2038788.99,465428.01,119613.88,89286.27,560787.5700000001,27.505915165845586,0.9434790800133331,1.3794228898643413
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,6.77,10.99,750.0,215668,1460072.3599999999,194122.0,2125048.94,177421.16,21821.86,17587.59,664976.5800000001,31.292294849454155,0.9000964445351188,1.4554408385622752
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,33.81,48.99,750.0,42951,1452173.31,38224.0,1842207.76,615191.66,30094.44,68054.7,390034.44999999995,21.17212067329474,0.8899443551954553,1.268586708841247
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,44.77,59.99,1750.0,31596,1414552.92,25228.0,1550435.72,463858.67,46356.71,257032.07,135882.80000000005,8.764168565466232,0.7984555006962907,1.096060598425685
17035,PERNOD RICARD USA,5364,Kahlua,23.07,29.99,1750.0,60645,1399080.15,53768.0,1664920.32,470876.35,98787.36,123780.22,265840.17000000016,15.967140697760248,0.8866023579849946,1.1900106795168242
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,21.73,33.99,1750.0,64249,1396130.77,53741.0,1736358.59,460018.54000000004,98741.93,257032.07,340227.82000000007,19.594329302681658,0.8364488163239895,1.2436933755138138
3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,28.88,39.99,1750.0,47546,1373128.48,43306.0,1711933.94,556107.87,79567.76,257032.07,338805.45999999996,19.79080220817399,0.9108232027930846,1.2467398098100768
3960,DIAGEO NORTH AMERICA INC,4260,Capt Morgan Original Barrel,16.66,21.99,1750.0,79078,1317439.48,79042.0,1635666.58,121065.24999999999,145234.95,257032.07,318227.1000000001,19.455499298640685,0.9995447532815701,1.2415496915273863
480,BACARDI USA INC,3348,Bombay Sapphire Gin,22.38,29.99,1750.0,57349,1283470.62,52971.0,1648920.29,431867.36,97327.53,89286.27,365449.6699999999,22.162967622892186,0.9236603951245881,1.2847355165792576
480,BACARDI USA INC,3857,Grey Goose Vodka,38.27,49.99,1750.0,33388,1277758.76,29679.0,1536402.21,545196.5800000001,54532.549999999996,89286.27,258643.44999999995,16.83435810730837,0.8889121840182101,1.2024196257515776
8664,"STOLI GROUP,(USA) LLC",8112,Stolichnaya,19.52,24.99,1750.0,61936,1208990.72,55555.0,1389844.95,365931.49,102071.53,18544.49,180854.22999999998,13.012547190965437,0.896974296047533,1.1495910820556174
480,BACARDI USA INC,126,Grey Goose Vodka,20.14,32.99,1000.0,59878,1205942.92,54222.0,1623483.78,271522.04,56933.1,89286.27,417540.8600000001,25.71881931582957,0.9055412672433949,1.3462360059297003
12546,JIM BEAM BRANDS COMPANY,3512,Pinnacle Vodka,11.76,16.99,1750.0,101480,1193404.8,92012.0,1513619.88,287060.06,169056.72,123880.97,320215.07999999984,21.155581016813805,0.9067008277493102,1.2683205899624335
12546,JIM BEAM BRANDS COMPANY,2120,Canadian Club,12.21,16.99,1750.0,97473,1190145.33,88368.0,1449092.32,289393.63,162359.94999999998,123880.97,258946.99,17.869599226086574,0.9065895170970423,1.2175759409147116
7245,PROXIMO SPIRITS INC.,8159,Jose Cuervo Especial,19.69,25.99,1750.0,59088,1163442.72,55264.0,1459393.3599999999,403887.04,101537.61,38994.78,295950.6399999999,20.27901785163665,0.9352829677768751,1.2543749124151122
480,BACARDI USA INC,4243,Bacardi Superior Rum,14.49,19.99,1750.0,76389,1106876.61,67657.0,1470223.43,318490.94999999995,124309.51,89286.27,363346.81999999983,24.71371443182618,0.8856903480867664,1.3282631656657735
8112,MOET HENNESSY USA INC,6654,Veuve Clicquot Brut Yellow,27.2,39.99,750.0,40380,1098336.0,30474.0,1263465.73,311571.56,3413.98,48347.26,165129.72999999998,13.069585195634867,0.7546805349182764,1.15034536790199
3960,DIAGEO NORTH AMERICA INC,8512,Baileys Irish Cream,14.72,19.99,750.0,72952,1073853.44,62230.0,1238443.7,316178.36,48994.7,257032.07,164590.26,13.290088196984653,0.8530266476587345,1.1532706921346734
7245,PROXIMO SPIRITS INC.,3802,Three Olives Vodka,13.43,18.99,1750.0,77066,1034996.38,70724.0,1332705.76,311502.27999999997,129943.20999999999,38994.78,297709.38,22.3387178877354,0.9177069005787247,1.2876429190989054
11567,CAMPARI AMERICA,3826,Skyy Vodka,15.74,19.99,1750.0,65382,1029112.6799999999,59349.0,1226671.51,330073.16,109040.3,20964.81,197558.83000000007,16.10527581259306,0.9077268973111866,1.1919700668735322
8112,MOET HENNESSY USA INC,42188,Moet & Chandon Nectar Imp Rs,34.01,52.99,750.0,29829,1014484.29,27503.0,1433904.47,114547.23000000001,3090.39,48347.26,419420.17999999993,29.250217763809605,0.9220221931677227,1.413431912287178
17035,PERNOD RICARD USA,3423,Beefeater,21.25,26.99,1750.0,46163,980963.75,42429.0,1114866.71,345727.07999999996,77957.45,123780.22,133902.95999999996,12.010669867431952,0.919112709312653,1.1365014354505965
8004,SAZERAC CO INC,5138,Fireball Cinnamon Whisky,11.1,13.99,750.0,87954,976289.4,77090.0,1073714.35,241121.12,60692.95,50293.62,97424.95000000007,9.073637695165392,0.8764808877367715,1.0997910558078374
17035,PERNOD RICARD USA,5734,Malibu Rum,15.82,21.99,1750.0,61639,975128.98,56556.0,1215206.44,294069.82999999996,103914.17,123780.22,240077.45999999996,19.75610497916716,0.9175359755998638,1.2462007231084447
480,BACARDI USA INC,4227,Bacardi Superior Rum Trav,14.17,17.99,1750.0,68294,967725.98,75147.0,1323223.53,177578.65,138074.09,89286.27,355497.55000000005,26.866023913586247,1.100345564764108,1.3673535250133515
4425,MARTIGNETTI COMPANIES,3505,Tito's Handmade Vodka,13.76,18.99,750.0,69299,953554.24,62713.0,1205373.8699999999,307261.25999999995,49373.03,144929.24,251819.6299999999,20.891412719938913,0.9049625535722016,1.2640852711220705
1128,BROWN-FORMAN CORP,1232,Jack Daniels No 7 Black,15.93,22.99,750.0,52932,843206.76,49946.0,1170701.54,368343.87,39321.43,68601.68,327494.78,27.97423329604572,0.9435879996977253,1.3883920238020862
12546,JIM BEAM BRANDS COMPANY,1385,Makers Mark,20.45,26.99,750.0,41048,839431.6,32792.0,913618.08,369138.73,25818.68,123880.97,74186.47999999998,8.120075732301618,0.7988696160592477,1.088377039892232
8004,SAZERAC CO INC,5103,Fireball Cinnamon Whisky,17.14,23.99,1750.0,44198,757553.72,39598.0,999002.02,339868.98,72754.8,50293.62,241448.30000000005,24.16895012884959,0.8959228924385719,1.3187210274672008
17035,PERNOD RICARD USA,8000,The Glenlivet 12 Yr Single,53.96,67.99,1750.0,13759,742435.64,12266.0,844618.34,418539.20999999996,22540.7,123780.22,102182.69999999995,12.098091547479298,0.8914892070644669,1.13763172791651
3960,DIAGEO NORTH AMERICA INC,2432,Crown Royal,17.59,22.99,750.0,41893,736897.87,36818.0,859228.82,335630.88999999996,28987.28,257032.07,122330.94999999995,14.237295951036646,0.8788580431098274,1.1660080113951203
17035,PERNOD RICARD USA,5365,Kahlua,14.84,18.99,750.0,48583,720971.72,42466.0,816046.34,301002.5,33431.67,123780.22,95074.62,11.650639839889484,0.8740917604923533,1.1318701099676975
3960,DIAGEO NORTH AMERICA INC,3876,Smirnoff 80 Proof,13.95,19.99,1750.0,50962,710919.9,61167.0,1157829.33,284934.68,112384.62,257032.07,446909.43000000005,38.59890386435452,1.2002472430438367,1.6286354201085103
1392,CONSTELLATION BRANDS INC,3913,Svedka Vodka,14.28,17.99,1750.0,48481,692308.68,43776.0,806855.24,253378.80999999997,80430.34999999999,79528.99,114546.55999999994,14.196668041717118,0.9029516717889482,1.165455906171796
8004,SAZERAC CO INC,3522,Platinum 7X Distilled Vodka,9.62,12.99,1750.0,71899,691668.38,65489.0,850991.11,217520.16,120320.56999999999,50293.62,159322.72999999998,18.722020492082457,0.9108471606002865,1.2303455450717582
1392,CONSTELLATION BRANDS INC,2114,Black Velvet Canadian Whisky,9.41,12.99,1750.0,73227,689066.07,67327.0,887577.73,215781.22,123699.98999999999,79528.99,198511.66000000003,22.36555214155723,0.9194286260532317,1.2880879913300622
4425,MARTIGNETTI COMPANIES,11219,Josh Cellars Cab Svgn Sonoma,8.44,12.99,750.0,80030,675453.2,67009.0,946359.87,184802.16999999998,7520.3,144929.24,270906.67000000004,28.626178960864014,0.8372985130576034,1.4010739308067532
9552,M S WALKER INC,3893,Zhenka 80 Proof,7.93,9.99,1750.0,81447,645874.71,77366.0,772886.34,160419.42,142144.63999999998,55551.82,127011.63,16.43341632871918,0.9498937959654745,1.1966505702011463
1128,BROWN-FORMAN CORP,811,Jack Daniels No 7 Black,19.84,29.99,1000.0,32554,645871.36,28614.0,840701.86,234185.41999999998,30044.7,68601.68,194830.5,23.174743541069365,0.8789703262271917,1.30165527079572
3960,DIAGEO NORTH AMERICA INC,2443,Seagrams VO,13.48,16.99,1750.0,47654,642375.92,44826.0,848827.74,255100.05,82359.81,257032.07,206451.81999999995,24.321992587094286,0.9406555588198262,1.3213878565062027
660,SAZERAC NORTH AMERICA INC.,2127,Canadian Ltd,7.19,10.49,1750.0,86887,624717.53,81431.0,849136.1900000001,171897.77,149614.31,17932.33,224418.66000000003,26.4290537422507,0.9372057960339292,1.3592322117165498
1392,CONSTELLATION BRANDS INC,6682,R M Woodbridge Chard Cal,6.03,8.99,1500.0,101547,612328.41,91590.0,927596.1,150976.66,20584.39,79528.99,315267.68999999994,33.98760408759804,0.9019468817394901,1.5148669975969267
3960,DIAGEO NORTH AMERICA INC,3798,Ciroc Apple Vodka,19.83,28.99,750.0,30830,611358.9,28313.0,714730.87,147155.86,22297.57,257032.07,103371.96999999997,14.463062159327183,0.918358741485566,1.1690855731387897
3960,DIAGEO NORTH AMERICA INC,4262,Capt Morgan Spiced Rum,11.19,13.99,750.0,54552,610436.88,48372.0,752426.28,223672.85,38084.08,257032.07,141989.40000000002,18.87087197432817,0.8867135943686758,1.2326029187489458
1128,BROWN-FORMAN CORP,2015,Jack Daniels Tennessee Honey,18.1,22.99,750.0,33715,610241.5,30359.0,702514.41,279482.35,23904.87,68601.68,92272.91000000003,13.134664383610298,0.9004597360225419,1.151207202394462
12546,JIM BEAM BRANDS COMPANY,1737,Makers Mark,34.3,51.99,1750.0,17537,601519.1,14609.0,749019.91,397818.61000000004,26845.48,123880.97,147500.81000000006,19.692508574304792,0.8330387181387923,1.245213842752458
4425,MARTIGNETTI COMPANIES,38370,Oyster Bay Svgn Bl Marlboro,6.59,9.95,750.0,91140,600612.6,86571.0,849356.37,116242.70999999999,9723.95,144929.24,248743.77000000002,29.28614875755862,0.9498683344305464,1.4141501027450973
